# file...... V_Data_transformer.csv
# date...... Fri May 18 11:46:44 2012
# user...... Luca Meschiari
# host...... (null)
# target.... meter 14
# trigger... (none)
# interval.. 1800
# limit..... 1000000
# timestamp,measured_real_power, voltage_A.real,voltage_A.imag, voltage_B.real,voltage_B.imag, voltage_C.real,voltage_C.imag
2009-07-22 02:00:00 PDT,+4072.63,+2394.72,-9.47672,-1210.89,-2060.04,-1176.25,+2078.69
2009-07-22 02:30:00 PDT,+6180.64,+2395.99,-7.20662,-1206.1,-2068.24,-1134.27,+2065.08
2009-07-22 03:00:00 PDT,+2052.2,+2395.18,-8.66016,-1204.14,-2071.54,-1189.83,+2078.62
2009-07-22 03:30:00 PDT,+1745.88,+2396.59,-6.13875,-1204.08,-2071.64,-1191.02,+2078.6
2009-07-22 04:00:00 PDT,+1857.99,+2394.92,-9.11642,-1203.16,-2073.19,-1191.09,+2078.6
2009-07-22 04:30:00 PDT,+1990.22,+2395.75,-7.63955,-1204.38,-2071.13,-1189.98,+2078.61
2009-07-22 05:00:00 PDT,+1872.09,+2396.56,-6.18681,-1204.48,-2070.98,-1190.11,+2078.61
2009-07-22 05:30:00 PDT,+2009.09,+2394.97,-9.02042,-1204.12,-2071.57,-1190.79,+2078.6
2009-07-22 06:00:00 PDT,+1758.91,+2397.09,-5.2384,-1204.86,-2070.34,-1191.33,+2078.6
2009-07-22 06:30:00 PDT,+2297.47,+2394.61,-9.66888,-1205.4,-2069.42,-1190.07,+2078.61
2009-07-22 07:00:00 PDT,+2062.35,+2397.31,-4.83027,-1206.71,-2067.21,-1190.32,+2078.61
2009-07-22 07:30:00 PDT,+2058.2,+2394.85,-9.23652,-1204.12,-2071.57,-1190.36,+2078.61
2009-07-22 08:00:00 PDT,+1911.15,+2395.84,-7.47142,-1204.13,-2071.56,-1190.38,+2078.61
2009-07-22 08:30:00 PDT,+3253.14,+2394.22,-10.3654,-1207.54,-2065.81,-1181.91,+2078.69
2009-07-22 09:00:00 PDT,+3152.04,+2395.08,-8.84028,-1207.92,-2065.15,-1182.31,+2078.69
2009-07-22 09:30:00 PDT,+2906.67,+2394.57,-9.74093,-1206.7,-2067.22,-1184.32,+2078.67
2009-07-22 10:00:00 PDT,+3332.65,+2393.67,-11.3383,-1208.01,-2065,-1182.87,+2078.68
2009-07-22 10:30:00 PDT,+8624.32,+2388.84,-19.7938,-1207.32,-2066.18,-1117.04,+2064.47
2009-07-22 11:00:00 PDT,+3336.24,+2392.84,-12.8158,-1206.72,-2067.2,-1181.96,+2078.69
2009-07-22 11:30:00 PDT,+3878.78,+2395.82,-7.508,-1210.58,-2060.61,-1176,+2078.71
2009-07-22 12:00:00 PDT,+2761.87,+2394.95,-9.06856,-1206.86,-2066.95,-1185.87,+2078.65
2009-07-22 12:30:00 PDT,+3334,+2395.33,-8.38398,-1208.83,-2063.59,-1181.08,+2078.68
2009-07-22 13:00:00 PDT,+6143.82,+2391.71,-14.7987,-1216.8,-2049.71,-1165.59,+2078.63
2009-07-22 13:30:00 PDT,+2649.93,+2396.03,-7.13525,-1206.64,-2067.32,-1184.75,+2078.66
2009-07-22 14:00:00 PDT,+2559.26,+2394.57,-9.74092,-1205.54,-2069.19,-1186.82,+2078.65
2009-07-22 14:30:00 PDT,+2421.28,+2396.49,-6.30684,-1206.51,-2067.54,-1186.69,+2078.65
2009-07-22 15:00:00 PDT,+3098.53,+2394.06,-10.6416,-1207.3,-2066.21,-1183.89,+2078.67
2009-07-22 15:30:00 PDT,+2976.43,+2396.33,-6.59499,-1208.38,-2064.38,-1183.05,+2078.68
2009-07-22 16:00:00 PDT,+3884.43,+2394.52,-9.83697,-1210.21,-2061.24,-1177.88,+2078.7
2009-07-22 16:30:00 PDT,+2934.6,+2396.46,-6.35487,-1208.29,-2064.53,-1183.17,+2078.68
2009-07-22 17:00:00 PDT,+3394.92,+2392.26,-13.825,-1207.28,-2066.24,-1183.42,+2078.68
