# file...... house1.csv
# date...... Tue Aug  7 11:12:12 2012
# user...... mike
# host...... (null)
# target.... house 13
# trigger... (none)
# interval.. 60
# limit..... 1000000
# timestamp,air_temperature
2012-08-07 06:27:12 PDT,+68.3092
2012-08-07 06:28:12 PDT,+68.3345
2012-08-07 06:29:12 PDT,+68.3599
2012-08-07 06:30:12 PDT,+68.3856
2012-08-07 06:31:12 PDT,+68.4114
2012-08-07 06:32:12 PDT,+68.4375
2012-08-07 06:33:12 PDT,+68.4637
2012-08-07 06:34:12 PDT,+68.49
2012-08-07 06:35:12 PDT,+68.5166
2012-08-07 06:36:12 PDT,+68.5433
2012-08-07 06:37:12 PDT,+68.5702
2012-08-07 06:38:12 PDT,+68.5973
2012-08-07 06:39:12 PDT,+68.6245
2012-08-07 06:40:12 PDT,+68.6519
2012-08-07 06:41:12 PDT,+68.6794
2012-08-07 06:42:12 PDT,+68.707
2012-08-07 06:43:12 PDT,+68.7348
2012-08-07 06:44:12 PDT,+68.7628
2012-08-07 06:45:12 PDT,+68.7909
2012-08-07 06:46:12 PDT,+68.8192
2012-08-07 06:47:12 PDT,+68.8476
2012-08-07 06:48:12 PDT,+68.8761
2012-08-07 06:49:12 PDT,+68.9048
2012-08-07 06:50:12 PDT,+68.9337
2012-08-07 06:51:12 PDT,+68.9627
2012-08-07 06:52:12 PDT,+68.9919
2012-08-07 06:53:12 PDT,+69.0213
2012-08-07 06:54:12 PDT,+69.0508
2012-08-07 06:55:12 PDT,+69.0805
2012-08-07 06:56:12 PDT,+69.1103
2012-08-07 06:57:12 PDT,+69.1402
2012-08-07 06:58:12 PDT,+69.1703
2012-08-07 06:59:12 PDT,+69.2005
2012-08-07 07:00:12 PDT,+69.2309
2012-08-07 07:01:12 PDT,+69.2614
2012-08-07 07:02:12 PDT,+69.2922
2012-08-07 07:03:12 PDT,+69.3231
2012-08-07 07:04:12 PDT,+69.3542
2012-08-07 07:05:12 PDT,+69.3856
2012-08-07 07:06:12 PDT,+69.4171
2012-08-07 07:07:12 PDT,+69.4488
2012-08-07 07:08:12 PDT,+69.4807
2012-08-07 07:09:12 PDT,+69.5128
2012-08-07 07:10:12 PDT,+69.545
2012-08-07 07:11:12 PDT,+69.5774
2012-08-07 07:12:12 PDT,+69.6099
2012-08-07 07:13:12 PDT,+69.6426
2012-08-07 07:14:12 PDT,+69.6755
2012-08-07 07:15:12 PDT,+69.7085
2012-08-07 07:16:12 PDT,+69.7416
2012-08-07 07:17:12 PDT,+69.7748
2012-08-07 07:18:12 PDT,+69.8082
2012-08-07 07:19:12 PDT,+69.8417
2012-08-07 07:20:12 PDT,+69.8754
2012-08-07 07:21:12 PDT,+69.9091
2012-08-07 07:22:12 PDT,+69.9429
2012-08-07 07:23:12 PDT,+69.9769
2012-08-07 07:24:12 PDT,+70.011
2012-08-07 07:25:12 PDT,+70.0452
2012-08-07 07:26:12 PDT,+70.0794
2012-08-07 07:27:12 PDT,+70.1138
2012-08-07 07:28:12 PDT,+70.1482
2012-08-07 07:29:12 PDT,+70.1828
2012-08-07 07:30:12 PDT,+70.2174
2012-08-07 07:31:12 PDT,+70.2521
2012-08-07 07:32:12 PDT,+70.2869
2012-08-07 07:33:12 PDT,+70.3218
2012-08-07 07:34:12 PDT,+70.3567
2012-08-07 07:35:12 PDT,+70.3917
2012-08-07 07:36:12 PDT,+70.4268
2012-08-07 07:37:12 PDT,+70.4619
2012-08-07 07:38:12 PDT,+70.4971
2012-08-07 07:39:12 PDT,+70.5324
2012-08-07 07:40:12 PDT,+70.5677
2012-08-07 07:41:12 PDT,+70.603
2012-08-07 07:42:12 PDT,+70.6384
2012-08-07 07:43:12 PDT,+70.6738
2012-08-07 07:44:12 PDT,+70.7093
