# file...... V_tm_9.csv,,,,,,,,,
# date...... Fri May 18 11:44:36 2012,,,,,,,,,
# user...... Luca Meschiari,,,,,,,,,
# host...... (null),,,,,,,,,
# target.... triplex_meter 68,,,,,,,,,
# trigger... (none),,,,,,,,,
# interval.. 1800,,,,,,,,,
# limit..... 1000000,,,,,,,,,
# timestamp,measured_real_power, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag,v1,v2
2009-07-21 20:00:00 PDT,1346,-59.4847,103.747,-59.9465,104.013,-119.431,207.76,119.5904241,120.051185
2009-07-21 20:30:00 PDT,1205,-59.5244,103.765,-59.9377,104.003,-119.462,207.767,119.6257891,120.0381268
2009-07-21 21:00:00 PDT,737,-59.6977,103.826,-59.9504,103.971,-119.648,207.797,119.7649935,120.0167459
2009-07-21 21:30:00 PDT,971,-59.6116,103.796,-59.9446,103.988,-119.556,207.784,119.6960838,120.0285767
2009-07-21 22:00:00 PDT,880.001,-59.6429,103.808,-59.9447,103.981,-119.588,207.789,119.7220798,120.0225621
2009-07-21 22:30:00 PDT,917,-59.6136,103.814,-59.9279,103.995,-119.542,207.81,119.712689,120.0263022
2009-07-21 23:00:00 PDT,903,-59.6334,103.805,-59.943,103.983,-119.576,207.788,119.714746,120.0234458
2009-07-21 23:30:00 PDT,890,-59.6274,103.805,-59.9326,103.981,-119.56,207.786,119.7117574,120.0165193
2009-07-22 00:00:00 PDT,805,-59.6771,103.818,-59.9531,103.976,-119.63,207.794,119.7477907,120.0224261
2009-07-22 00:30:00 PDT,850,-59.6637,103.811,-59.9552,103.979,-119.619,207.79,119.7350442,120.026074
2009-07-22 01:00:00 PDT,1575,-59.4037,103.717,-59.9442,104.028,-119.348,207.745,119.5241217,120.063033
2009-07-22 01:30:00 PDT,692,-59.7257,103.832,-59.9629,103.969,-119.689,207.801,119.7841536,120.0212579
2009-07-22 02:00:00 PDT,1321,-59.4955,103.75,-59.9487,104.01,-119.444,207.76,119.5983989,120.0496844
2009-07-22 02:30:00 PDT,4362.08,-59.0627,103.535,-59.268,103.653,-118.331,207.188,119.1968907,119.4011735
2009-07-22 03:00:00 PDT,354,-59.848,103.876,-59.9693,103.945,-119.817,207.821,119.8833036,120.0036665
2009-07-22 03:30:00 PDT,343,-59.8565,103.878,-59.974,103.945,-119.831,207.823,119.8892801,120.0060153
2009-07-22 04:00:00 PDT,290,-59.8729,103.884,-59.9722,103.941,-119.845,207.825,119.9026672,120.001651
2009-07-22 04:30:00 PDT,411,-59.8314,103.869,-59.9722,103.949,-119.804,207.818,119.8689517,120.0085804
2009-07-22 05:00:00 PDT,398,-59.8359,103.871,-59.9723,103.949,-119.808,207.819,119.8729309,120.0086304
2009-07-22 05:30:00 PDT,315,-59.8641,103.881,-59.9721,103.943,-119.836,207.824,119.8956739,120.0033334
2009-07-22 06:00:00 PDT,348,-59.8566,103.878,-59.9758,103.946,-119.832,207.824,119.88933,120.007781
2009-07-22 06:30:00 PDT,371,-59.8444,103.874,-59.9715,103.947,-119.816,207.82,119.8797735,120.0064982
2009-07-22 07:00:00 PDT,395,-59.8382,103.872,-59.9735,103.95,-119.812,207.822,119.8749455,120.0100963
2009-07-22 07:30:00 PDT,348,-59.8523,103.876,-59.9715,103.945,-119.824,207.821,119.8854503,120.0047659
2009-07-22 08:00:00 PDT,403,-59.8357,103.87,-59.9738,103.949,-119.809,207.818,119.8719646,120.00938
2009-07-22 08:30:00 PDT,474,-59.7756,103.86,-59.938,103.953,-119.714,207.813,119.833309,119.9949584
2009-07-22 09:00:00 PDT,531,-59.7602,103.853,-59.9422,103.958,-119.702,207.811,119.8195606,120.0013879
2009-07-22 09:30:00 PDT,617,-59.7439,103.842,-59.9554,103.963,-119.699,207.804,119.8018971,120.0123134
2009-07-22 10:00:00 PDT,736,-59.7017,103.826,-59.954,103.971,-119.656,207.797,119.7669873,120.0185442
2009-07-22 10:30:00 PDT,4370.54,-58.9834,103.529,-59.1917,103.65,-118.175,207.179,119.1524037,119.3607132
2009-07-22 11:00:00 PDT,564,-59.7492,103.848,-59.9425,103.959,-119.692,207.806,119.8097409,120.0024041
2009-07-22 11:30:00 PDT,972,-59.599,103.796,-59.9323,103.988,-119.531,207.783,119.6898092,120.0224343
2009-07-22 12:00:00 PDT,704,-59.7249,103.831,-59.9662,103.969,-119.691,207.8,119.7828879,120.0229066
2009-07-22 12:30:00 PDT,985,-59.6185,103.794,-59.9563,103.988,-119.575,207.782,119.697786,120.0344203
2009-07-22 13:00:00 PDT,2048,-59.2285,103.653,-59.9318,104.059,-119.16,207.712,119.3815715,120.0837047
2009-07-22 13:30:00 PDT,741,-59.7083,103.826,-59.9624,103.972,-119.671,207.798,119.7702775,120.0236068
2009-07-22 14:00:00 PDT,589,-59.7637,103.845,-59.9656,103.961,-119.729,207.806,119.8143725,120.0156769
2009-07-22 14:30:00 PDT,647,-59.7456,103.838,-59.9673,103.966,-119.713,207.804,119.7992778,120.0208575
2009-07-22 15:00:00 PDT,769,-59.6964,103.822,-59.9601,103.973,-119.657,207.795,119.7608778,120.0233241
2009-07-22 15:30:00 PDT,778,-59.6895,103.822,-59.9562,103.975,-119.646,207.796,119.7574386,120.0231084
2009-07-22 16:00:00 PDT,1100,-59.5694,103.779,-59.9467,103.996,-119.516,207.774,119.6603287,120.0365563
2009-07-22 16:30:00 PDT,823,-59.6765,103.816,-59.9587,103.978,-119.635,207.793,119.7457578,120.0269561
2009-07-22 17:00:00 PDT,739,-59.7034,103.825,-59.9568,103.97,-119.66,207.795,119.7669679,120.0190767
2009-07-22 17:30:00 PDT,610,-59.7571,103.841,-59.9662,103.961,-119.723,207.802,119.8076136,120.0159767
2009-07-22 18:00:00 PDT,689,-59.7302,103.832,-59.9664,103.967,-119.697,207.799,119.7863975,120.021274
2009-07-22 18:30:00 PDT,714,-59.6923,103.831,-59.937,103.971,-119.629,207.802,119.7666366,120.010053
2009-07-22 19:00:00 PDT,1063,-59.5594,103.787,-59.924,103.997,-119.483,207.784,119.6622894,120.0260879
2009-07-22 19:30:00 PDT,737,-59.68,103.828,-59.9327,103.973,-119.613,207.801,119.7579057,120.0096382
2009-07-22 20:00:00 PDT,699,-59.708,103.83,-59.9476,103.968,-119.656,207.798,119.7735954,120.0127484
2009-07-22 20:30:00 PDT,892,-59.6385,103.805,-59.9443,103.981,-119.583,207.786,119.7172866,120.0223623
