# file...... V_tm_8.csv,,,,,,,,,
# date...... Fri May 18 11:44:36 2012,,,,,,,,,
# user...... Luca Meschiari,,,,,,,,,
# host...... (null),,,,,,,,,
# target.... triplex_meter 67,,,,,,,,,
# trigger... (none),,,,,,,,,
# interval.. 1800,,,,,,,,,
# limit..... 1000000,,,,,,,,,
# timestamp,measured_real_power, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag,,
2009-07-21 13:00:00 PDT,182,-60.0361,-103.805,-60.0359,-103.877,-120.072,-207.682,119.915851,119.9780831
2009-07-21 13:30:00 PDT,259,-60.0349,-103.789,-60.0346,-103.892,-120.069,-207.681,119.9014001,119.9904199
2009-07-21 14:00:00 PDT,450,-60.0412,-103.729,-60.0407,-103.906,-120.082,-207.635,119.8526226,120.0055936
2009-07-21 14:30:00 PDT,194,-60.0264,-103.822,-60.0261,-103.899,-120.053,-207.722,119.9257119,119.9922284
2009-07-21 15:00:00 PDT,157,-60.0248,-103.835,-60.0245,-103.897,-120.049,-207.732,119.9361657,119.9896963
2009-07-21 15:30:00 PDT,122,-60.0208,-103.851,-60.0206,-103.899,-120.041,-207.75,119.9480164,119.9894771
2009-07-21 16:00:00 PDT,164,-60.0228,-103.837,-60.0225,-103.902,-120.045,-207.738,119.9368963,119.9930253
2009-07-21 16:30:00 PDT,214,-60.0291,-103.812,-60.0288,-103.896,-120.058,-207.708,119.9184064,119.9909815
2009-07-21 17:00:00 PDT,553,-60.05,-103.686,-60.0494,-103.904,-120.099,-207.59,119.8198193,120.008215
2009-07-21 17:30:00 PDT,832,-60.0707,-103.577,-60.07,-103.906,-120.141,-207.483,119.7358924,120.0202555
2009-07-21 18:00:00 PDT,574,-60.0526,-103.677,-60.052,-103.903,-120.105,-207.58,119.8133344,120.0086502
2009-07-21 18:30:00 PDT,458,-60.0669,-103.678,-60.0664,-103.859,-120.133,-207.537,119.8213677,119.9777658
2009-07-21 19:00:00 PDT,281,-60.1253,-103.607,-60.1251,-103.718,-120.25,-207.325,119.7892405,119.8851583
2009-07-21 19:30:00 PDT,225,-60.0819,-103.709,-60.0817,-103.798,-120.164,-207.508,119.8557107,119.9326289
2009-07-21 20:00:00 PDT,228,-60.0554,-103.755,-60.0551,-103.845,-120.111,-207.6,119.8822384,119.9599894
2009-07-21 20:30:00 PDT,302,-60.0537,-103.741,-60.0534,-103.86,-120.107,-207.6,119.8692703,119.9721236
2009-07-21 21:00:00 PDT,365,-60.046,-103.742,-60.0456,-103.886,-120.092,-207.628,119.8662783,119.9907291
2009-07-21 21:30:00 PDT,274,-60.053,-103.75,-60.0527,-103.858,-120.106,-207.609,119.8767088,119.9700418
2009-07-21 22:00:00 PDT,308,-60.0535,-103.741,-60.0532,-103.863,-120.107,-207.604,119.8691701,119.9746206
2009-07-21 22:30:00 PDT,494,-60.1726,-103.349,-60.1724,-103.544,-120.345,-206.893,119.5899561,119.7584137
2009-07-21 23:00:00 PDT,300,-60.0571,-103.737,-60.0567,-103.855,-120.114,-207.592,119.867512,119.9694471
2009-07-21 23:30:00 PDT,228,-60.0479,-103.773,-60.0477,-103.863,-120.096,-207.635,119.8940608,119.9718677
2009-07-22 00:00:00 PDT,259,-60.043,-103.773,-60.0426,-103.876,-120.086,-207.649,119.8916068,119.9805701
2009-07-22 00:30:00 PDT,152,-60.0366,-103.813,-60.0363,-103.873,-120.073,-207.687,119.9230266,119.9748201
2009-07-22 01:00:00 PDT,144,-60.0555,-103.776,-60.0553,-103.833,-120.111,-207.608,119.900464,119.9497017
2009-07-22 01:30:00 PDT,144,-60.0317,-103.825,-60.0315,-103.881,-120.063,-207.706,119.9309619,119.9793447
2009-07-22 02:00:00 PDT,109,-60.0464,-103.804,-60.0462,-103.847,-120.093,-207.65,119.9201425,119.9572655
2009-07-22 02:30:00 PDT,147,-60.0153,-103.831,-60.0151,-103.889,-120.03,-207.719,119.9279483,119.9780669
2009-07-22 03:00:00 PDT,109,-60.0205,-103.857,-60.0204,-103.9,-120.041,-207.757,119.9530611,119.990243
2009-07-22 03:30:00 PDT,147,-60.0217,-103.845,-60.0215,-103.903,-120.043,-207.747,119.943272,119.9933909
2009-07-22 04:00:00 PDT,107,-60.0165,-103.866,-60.0163,-103.908,-120.033,-207.773,119.9588522,119.9951196
2009-07-22 04:30:00 PDT,148,-60.0229,-103.842,-60.0227,-103.901,-120.046,-207.743,119.9412752,119.9922594
2009-07-22 05:00:00 PDT,106,-60.0216,-103.855,-60.0215,-103.897,-120.043,-207.751,119.9518799,119.9881955
2009-07-22 05:30:00 PDT,146,-60.0221,-103.845,-60.0219,-103.903,-120.044,-207.748,119.9434722,119.993591
2009-07-22 06:00:00 PDT,111,-60.0237,-103.85,-60.0236,-103.893,-120.047,-207.743,119.9486017,119.9857825
2009-07-22 06:30:00 PDT,104,-60.026,-103.849,-60.0259,-103.89,-120.052,-207.738,119.9488869,119.9843355
2009-07-22 07:00:00 PDT,147,-60.0329,-103.823,-60.0327,-103.881,-120.066,-207.704,119.9298312,119.9799451
2009-07-22 07:30:00 PDT,106,-60.0205,-103.858,-60.0203,-103.9,-120.041,-207.758,119.9539269,119.990193
2009-07-22 08:00:00 PDT,95,-60.0199,-103.861,-60.0197,-103.899,-120.04,-207.76,119.9562242,119.989027
2009-07-22 08:30:00 PDT,547,-60.0501,-103.688,-60.0495,-103.904,-120.1,-207.592,119.8216001,120.008265
2009-07-22 09:00:00 PDT,516,-60.0505,-103.695,-60.0499,-103.899,-120.1,-207.593,119.8278581,120.0041361
2009-07-22 09:30:00 PDT,207,-60.0341,-103.805,-60.0338,-103.887,-120.068,-207.692,119.9148497,119.9856904
2009-07-22 10:00:00 PDT,280,-60.0422,-103.771,-60.0419,-103.882,-120.084,-207.653,119.889475,119.9854144
2009-07-22 10:30:00 PDT,307,-60.0246,-103.772,-60.0242,-103.893,-120.049,-207.665,119.8815273,119.9860827
2009-07-22 11:00:00 PDT,263,-60.0361,-103.788,-60.0358,-103.891,-120.072,-207.679,119.9011353,119.9901544
