# file...... V_Data_transformer.csv,,,,,,,,,,
# date...... Fri May 18 11:44:36 2012,,,,,,,,,,
# user...... Luca Meschiari,,,,,,,,,,
# host...... (null),,,,,,,,,,
# target.... meter 14,,,,,,,,,,
# trigger... (none),,,,,,,,,,
# interval.. 1800,,,,,,,,,,
# limit..... 1000000,,,,,,,,,,
# timestamp,measured_real_power, voltage_A.real,voltage_A.imag, voltage_B.real,voltage_B.imag, voltage_C.real,voltage_C.imag,V_A,V_B,V_C
2009-07-20 07:00:00 PDT,2377.59,2399.49,-0.925352,-1200.44,-2077.73,-1199.3,2078.47,2399.490178,2399.587078,2399.657899
2009-07-20 07:30:00 PDT,1712.9,2399.79,-0.380671,-1200.34,-2077.9,-1199.22,2078.48,2399.79003,2399.684255,2399.626579
2009-07-20 08:00:00 PDT,2342.92,2399.8,-0.366274,-1200.5,-2077.63,-1198.82,2078.48,2399.800028,2399.53051,2399.426703
2009-07-20 08:30:00 PDT,1559.8,2399.85,-0.275994,-1200.32,-2077.92,-1199.24,2078.48,2399.850016,2399.69157,2399.636574
2009-07-20 09:00:00 PDT,1743.87,2399.77,-0.418134,-1200.33,-2077.92,-1199.2,2078.48,2399.770036,2399.696572,2399.616584
2009-07-20 09:30:00 PDT,2058.74,2399.6,-0.717016,-1200.24,-2078.06,-1199.03,2078.48,2399.600107,2399.772785,2399.531632
2009-07-20 10:00:00 PDT,2202.34,2399.83,-0.301926,-1200.51,-2077.61,-1198.92,2078.48,2399.830019,2399.518196,2399.476667
2009-07-20 10:30:00 PDT,1911.21,2399.79,-0.385482,-1200.39,-2077.81,-1199.1,2078.48,2399.790031,2399.631336,2399.566611
2009-07-20 11:00:00 PDT,3095.27,2399.34,-1.18865,-1200.49,-2077.65,-1198.91,2078.48,2399.340294,2399.542824,2399.471671
2009-07-20 11:30:00 PDT,3568.82,2399.06,-1.6955,-1200.49,-2077.65,-1198.97,2078.48,2399.060599,2399.542824,2399.501651
2009-07-20 12:00:00 PDT,4267.76,2398.98,-1.84549,-1200.62,-2077.43,-1198.64,2078.49,2398.98071,2399.417385,2399.345438
2009-07-20 12:30:00 PDT,4429.6,2398.76,-2.23231,-1200.55,-2077.55,-1198.75,2078.48,2398.761039,2399.486259,2399.39173
2009-07-20 13:00:00 PDT,3271.7,2399.31,-1.24057,-1200.52,-2077.59,-1198.85,2078.48,2399.310321,2399.505882,2399.441692
2009-07-20 13:30:00 PDT,3667,2399.68,-0.583403,-1200.78,-2077.17,-1198.15,2078.49,2399.680071,2399.272352,2399.100686
2009-07-20 14:00:00 PDT,2810.78,2399.69,-0.556499,-1200.55,-2077.55,-1198.62,2078.49,2399.690065,2399.486259,2399.335446
2009-07-20 14:30:00 PDT,5560.26,2399.82,-0.327862,-1201.44,-2076.06,-1197.08,2078.51,2399.820022,2398.641949,2398.583821
2009-07-20 15:00:00 PDT,2506.12,2399.8,-0.361487,-1200.54,-2077.56,-1198.72,2078.48,2399.800027,2399.489914,2399.376742
2009-07-20 15:30:00 PDT,2569.81,2399.76,-0.436389,-1200.53,-2077.58,-1198.72,2078.48,2399.76004,2399.502227,2399.376742
2009-07-20 16:00:00 PDT,4536.14,2399.77,-0.412372,-1201.12,-2076.6,-1197.67,2078.5,2399.770035,2398.949106,2398.869667
2009-07-20 16:30:00 PDT,2220.91,2399.79,-0.385488,-1200.48,-2077.67,-1198.93,2078.48,2399.790031,2399.555138,2399.481664
2009-07-20 17:00:00 PDT,2201.11,2399.81,-0.338436,-1200.49,-2077.65,-1198.92,2078.48,2399.810024,2399.542824,2399.476667
